,CVE_ENT,CVE_MUN,POB_SENIOR,POB_SENIOR_PER
239,08,010,3095.0,0.12308120575837111
240,08,009,2780.0,0.11905271722838422
241,08,008,1046.0,0.09281277728482698
242,08,049,482.0,0.17482771128037722
243,08,036,5211.0,0.12753616094373332
244,08,006,1250.0,0.2152574479076976
245,08,059,858.0,0.17146282973621102
246,08,052,3527.0,0.1437596804434662
247,08,029,4067.0,0.08051233321455438
248,08,002,3152.0,0.12101201673897186
249,08,054,1001.0,0.13008447043534763
250,08,056,482.0,0.23184223184223185
251,08,058,544.0,0.20178041543026706
252,08,065,1892.0,0.11101331925130552
253,08,066,847.0,0.13006756756756757
254,08,043,630.0,0.22975929978118162
255,08,014,429.0,0.21091445427728614
256,08,003,1633.0,0.19241192411924118
257,08,005,2658.0,0.10186640095044648
258,08,042,276.0,0.23429541595925296
259,08,040,4012.0,0.1595609290486796
260,08,039,763.0,0.18510431829209123
