,CVE_ENT,CVE_MUN,POB
633,14,002,25250.0
634,14,003,23630.0
635,14,005,16490.0
636,14,025,19689.0
637,14,027,18370.0
638,14,028,2166.0
639,14,010,7758.0
640,14,013,64009.0
641,14,125,18341.0
642,14,089,4072.0
643,14,088,16603.0
644,14,087,16705.0
645,14,085,38955.0
646,14,084,14997.0
647,14,083,87690.0
648,14,082,37186.0
649,14,081,3515.0
650,14,080,5086.0
651,14,072,7609.0
652,14,071,2924.0
653,14,070,232852.0
654,14,068,11303.0
655,14,067,291839.0
656,14,066,53659.0
657,14,064,33588.0
658,14,063,106050.0
659,14,062,3638.0
660,14,061,22083.0
661,14,060,5307.0
662,14,059,14043.0
663,14,058,14451.0
664,15,044,28217.0
665,15,061,10351.0
666,15,014,109384.0
667,15,049,15428.0
668,15,062,72103.0
669,15,103,49196.0
670,15,100,47044.0
671,15,052,28155.0
672,15,015,31900.0
673,15,016,29128.0
674,15,017,10053.0
675,15,018,68489.0
676,15,019,36921.0
677,15,020,293444.0
678,15,022,15107.0
679,15,010,31898.0
680,15,098,5736.0
681,15,092,58507.0
682,15,002,171507.0
683,15,024,178847.0
684,15,118,203872.0
685,15,026,31737.0
686,15,109,516341.0
687,15,107,12912.0
688,15,007,23675.0
689,15,032,37436.0
690,15,059,57082.0
691,15,064,36937.0
692,15,004,15333.0
693,15,008,25244.0
694,15,001,67872.0
695,15,011,75489.0
696,15,060,430601.0
697,15,013,523674.0
698,15,029,200750.0
699,15,027,12772.0
700,15,058,1077208.0
701,15,046,19877.0
702,15,105,31762.0
703,15,033,1645352.0
704,15,043,30687.0
705,15,074,144924.0
706,15,087,105766.0
707,15,104,672202.0
708,15,096,39489.0
709,15,086,35014.0
710,15,082,79282.0
711,15,102,16414.0
712,15,055,13807.0
713,15,069,4862.0
714,15,097,18482.0
715,15,080,24145.0
716,15,095,103696.0
717,15,054,242307.0
718,15,094,20500.0
719,15,093,32564.0
720,15,078,9729.0
721,15,077,6692.0
722,15,021,38643.0
723,15,050,27116.0
724,15,101,84259.0
725,15,025,400057.0
726,15,023,40885.0
727,15,045,87671.0
728,15,115,54633.0
729,15,117,13522.0
730,15,124,100082.0
731,15,066,4891.0
732,15,057,834434.0
733,15,125,14883.0
734,15,083,14130.0
735,15,056,33164.0
736,15,106,910608.0
737,15,110,61590.0
738,15,116,5109.0
739,15,119,18833.0
740,15,120,280455.0
741,15,035,163244.0
742,15,037,284965.0
743,15,038,11929.0
744,15,039,542211.0
745,15,065,36331.0
746,15,067,88783.0
747,15,051,170327.0
748,15,070,304088.0
749,15,084,43593.0
750,15,053,61220.0
751,15,071,14985.0
752,15,072,15972.0
753,15,073,31962.0
754,15,076,97418.0
755,15,009,53441.0
756,15,048,69264.0
757,15,031,705193.0
758,15,047,76826.0
759,15,042,160139.0
760,15,040,36911.0
761,15,036,46757.0
