,ENTIDAD,MUNICIPIO,PIB_PER_CAPITA_MUNICIPAL
72,1,1,325313.70339931775
73,1,1,325313.70339931775
74,1,1,325313.70339931775
75,1,1,325313.70339931775
76,1,1,325313.70339931775
77,1,1,325313.70339931775
78,1,1,325313.70339931775
79,1,1,325313.70339931775
80,1,1,325313.70339931775
81,1,1,325313.70339931775
82,1,1,325313.70339931775
83,1,1,325313.70339931775
84,1,1,325313.70339931775
85,1,1,325313.70339931775
86,1,1,325313.70339931775
87,1,1,325313.70339931775
88,1,1,325313.70339931775
89,1,1,325313.70339931775
90,1,1,325313.70339931775
91,1,1,325313.70339931775
92,1,1,325313.70339931775
93,1,1,325313.70339931775
94,1,1,325313.70339931775
95,1,1,325313.70339931775
96,1,1,325313.70339931775
97,1,1,325313.70339931775
98,1,1,325313.70339931775
99,1,1,325313.70339931775
100,1,1,325313.70339931775
101,1,1,325313.70339931775
102,1,1,325313.70339931775
103,1,1,325313.70339931775
104,1,1,325313.70339931775
105,1,1,325313.70339931775
106,1,1,325313.70339931775
107,1,1,325313.70339931775
108,1,1,325313.70339931775
109,1,1,325313.70339931775
110,1,1,325313.70339931775
111,1,1,325313.70339931775
112,1,1,325313.70339931775
113,1,1,325313.70339931775
114,1,1,325313.70339931775
115,1,1,325313.70339931775
116,1,1,325313.70339931775
117,1,1,325313.70339931775
118,1,1,325313.70339931775
119,1,1,325313.70339931775
120,1,1,325313.70339931775
121,1,1,325313.70339931775
122,1,1,325313.70339931775
123,1,1,325313.70339931775
124,1,1,325313.70339931775
125,1,1,325313.70339931775
126,1,1,325313.70339931775
127,1,1,325313.70339931775
128,1,1,325313.70339931775
129,1,1,325313.70339931775
130,1,1,325313.70339931775
131,1,1,325313.70339931775
132,1,1,325313.70339931775
133,1,1,325313.70339931775
134,1,1,325313.70339931775
135,1,1,325313.70339931775
136,1,1,325313.70339931775
137,1,1,325313.70339931775
138,1,1,325313.70339931775
139,1,1,325313.70339931775
140,1,1,325313.70339931775
141,1,1,325313.70339931775
142,1,1,325313.70339931775
143,1,1,325313.70339931775
144,1,1,325313.70339931775
145,1,1,325313.70339931775
146,1,1,325313.70339931775
147,1,1,325313.70339931775
148,1,1,325313.70339931775
149,1,1,325313.70339931775
150,1,1,325313.70339931775
151,1,1,325313.70339931775
152,1,1,325313.70339931775
153,1,1,325313.70339931775
154,1,1,325313.70339931775
155,1,1,325313.70339931775
156,1,1,325313.70339931775
157,1,1,325313.70339931775
158,1,1,325313.70339931775
159,1,1,325313.70339931775
160,1,1,325313.70339931775
161,1,1,325313.70339931775
162,1,1,325313.70339931775
163,1,1,325313.70339931775
164,1,1,325313.70339931775
165,1,1,325313.70339931775
166,1,1,325313.70339931775
167,1,1,325313.70339931775
168,1,1,325313.70339931775
169,1,1,325313.70339931775
170,1,1,325313.70339931775
171,1,1,325313.70339931775
172,1,1,325313.70339931775
173,1,1,325313.70339931775
174,1,1,325313.70339931775
175,1,1,325313.70339931775
176,1,1,325313.70339931775
177,1,1,325313.70339931775
178,1,1,325313.70339931775
179,1,1,325313.70339931775
180,1,1,325313.70339931775
181,1,1,325313.70339931775
182,1,1,325313.70339931775
183,1,1,325313.70339931775
184,1,1,325313.70339931775
185,1,1,325313.70339931775
186,1,1,325313.70339931775
187,1,1,325313.70339931775
188,1,1,325313.70339931775
189,1,1,325313.70339931775
190,1,1,325313.70339931775
191,1,1,325313.70339931775
192,1,1,325313.70339931775
193,1,1,325313.70339931775
194,1,1,325313.70339931775
195,1,1,325313.70339931775
196,1,1,325313.70339931775
197,1,1,325313.70339931775
198,1,1,325313.70339931775
199,1,1,325313.70339931775
200,1,1,325313.70339931775
201,1,1,325313.70339931775
202,1,1,325313.70339931775
203,1,1,325313.70339931775
204,1,1,325313.70339931775
205,1,1,325313.70339931775
206,1,1,325313.70339931775
207,1,1,325313.70339931775
208,1,1,325313.70339931775
209,1,1,325313.70339931775
210,1,1,325313.70339931775
211,1,1,325313.70339931775
212,1,1,325313.70339931775
213,1,1,325313.70339931775
214,1,1,325313.70339931775
215,1,1,325313.70339931775
